variant,sharpe,ann_return,max_dd
tcost_10bps,0.15231460715685233,0.03631680429845252,-0.5614290756131514
tcost_20bps,0.15174422143764124,0.0361816528219292,-0.5618774689761474
tcost_30bps,0.15117319470911428,0.03604640805990478,-0.5623258623391436
tcost_40bps,0.15060152954549688,0.035911069862561984,-0.5627742557021398
bucket_quintile,0.15174422143764124,0.0361816528219292,-0.5618774689761474
bucket_tercile,0.2528690409949626,0.05123858771649714,-0.38426716344313816
bucket_decile,0.3471275693583139,0.06675048133537098,-0.3207187176649744
rebal_monthly,0.15174422143764124,0.0361816528219292,-0.5618774689761474
rebal_quarterly,0.11665900585762863,0.027783117552584002,-0.6009646198681784
rebal_annual,0.11100726165609731,0.025772232607135903,-0.6009646198681784
cap_weighted_top_quintile,0.060352999319675214,0.013467055713361376,-0.5599640698156553
