iso3,year_pre,year_post,expected_pre,expected_post,got_pre,got_post,pass
BRA,2007,2008,BB+,BBB-,12,13,True
BRA,2014,2015,BBB-,BB+,13,12,True
IND,2006,2007,BB+,BBB-,12,13,True
RUS,1997,1998,BB-,CCC,10,5,True
RUS,2013,2014,BBB,BB+,14,12,True
RUS,2017,2018,BB+,BBB-,12,13,True
RUS,2021,2022,BBB-,SD,13,1,True
ZAF,1999,2000,BB+,BBB-,12,13,True
ZAF,2016,2017,BBB-,BB+,13,12,True
CHN,2016,2017,AA-,A+,19,18,True
MEX,2001,2002,BB+,BBB-,12,13,True
IDN,2016,2017,BB+,BBB-,12,13,True
PHL,2012,2013,BB+,BBB-,12,13,True
PER,2007,2008,BB+,BBB-,12,13,True
COL,2020,2021,BBB-,BB+,13,12,True
MAR,2009,2010,BB+,BBB-,12,13,True
MAR,2020,2021,BBB-,BB+,13,12,True
