iso3,duration,event,entry_year,event_year,education,energy,research_innovation,health,housing_living,security_stability
BFA,34,0,1990,2024,-4.365565796032523,-4.226081061516342,-1.6862608189459425,-4.898895462833625,-3.034654783923825,0.5663722248393898
BRA,18,1,1990,2008,1.2910367641083742,0.1926751908818579,-0.7274202832043447,0.8557320246788608,-0.0418413871820278,-0.6867628723275399
CHL,5,1,1990,1995,-0.2602323242332116,0.4057253308311129,-0.305452907572361,0.0763923875169287,1.7106307919256205,0.5662578450344685
CHN,5,1,1990,1995,0.1473717062283185,-0.3544723661548223,-0.1246242653523762,0.4995520421343492,-0.8368767759744432,0.4865186187930795
COL,5,1,1990,1995,1.003997348483412,0.1510248200952892,-0.6318685095758261,-0.4198267921100382,1.5735368865849726,-4.529331655218833
IDN,5,1,1990,1995,-0.0686427273340493,-1.5834337260423212,-1.1702728526489845,-3.0357681167259374,-1.7032175016925744,0.6323045302525081
IND,17,1,1990,2007,-1.5493244298558513,-1.8168757029152744,-0.8965162863816315,-3.5066159496148783,-2.355460125817181,0.3226370145835786
KEN,34,0,1990,2024,-0.3342862666527887,-2.601248311427957,-0.7717144003565211,-2.567368046905619,-2.4705496812459793,0.5350630122916501
MAR,20,1,1990,2010,-1.496253894629474,-0.7893743989107487,-0.963161311228978,-2.115902887455477,-1.6804540034070905,0.6517148773049192
MEX,12,1,1990,2002,-0.14932312562036,1.003544704650811,-0.3318408494870157,-0.8942169671504315,0.1465476363352183,-0.5377220880090252
MYS,5,1,1990,1995,0.4013730376511818,0.9702663661764384,-1.2725454388982484,-0.114898201201963,1.3203798718128223,0.5552203485479645
PAK,34,0,1990,2024,-2.341448422294611,-1.4780782918114048,-1.8735220979438416,-4.324201633167598,-2.0126254315960033,0.1864619117890671
PER,18,1,1990,2008,0.3022310301742077,-0.5578872551620575,-1.6044547223237444,-1.2346697966727356,0.6603733824598145,0.3520956587597074
PHL,23,1,1990,2013,0.1007698051484186,-1.0858050190196455,-1.8605893171187151,-2.1334709336947713,-0.6253877946911399,-0.3479624626376936
POL,6,1,1990,1996,2.3003398690579178,1.6255201822974128,2.251767518046921,1.216705324435626,1.714678266587083,0.5532015046084947
RUS,15,1,1990,2005,1.3343494518006669,2.2458125418913175,2.2574217176775573,6.622629380344933,1.4576009402313492,-0.3082143523681736
RWA,34,0,1990,2024,-2.4118027641999755,-3.575031315776088,-1.453289748334645,-3.2547330432498778,-1.5011727950957443,0.4668390842638849
SGP,5,1,1990,1995,1.5533024769267474,2.2930800107982243,5.758317193887894,1.336987066704517,1.9791231791746795,0.5697216058291494
THA,5,1,1990,1995,0.602806642858767,-0.0113195113956724,-2.529580603799674,-0.7077724420439667,0.911692148239214,-0.0006608168092284
TUR,34,0,1990,2024,-0.3901512806367911,0.6375992172533538,-0.6731744124304856,-0.8708964295958184,1.5009630292329412,0.3920706001660136
ZAF,10,1,1990,2000,-0.2780370240261884,0.922443452506616,0.2490857459023254,-1.0487129351587736,-0.2885010436039688,-5.1008659494161295
