year,BFA,BRA,CHL,CHN,COL,IDN,IND,KEN,MAR,MEX,MLI,MYS,NER,PAK,PER,PHL,POL,RUS,RWA,THA,TUR,ZAF
1990,-8814.148086111134,3235.167763091118,1478.1426657694956,-8229.66389355703,480.9410149245268,-4877.804830383472,-7669.07099133883,-5604.989315350334,-5352.852732060768,7977.667533366084,-7995.9270323225655,2587.413005094122,-8496.337204228286,-6627.189195401152,-3368.1420525263384,-5263.150486857568,3431.8963558651485,21018.67079421764,-8798.324692897208,-874.8633366744434,2765.66577159591,1330.2064343633574
1991,-8812.712872474138,3072.5198295017253,2090.806546245598,-8164.322947264789,406.12706947903825,-4693.213347968093,-7766.621783045148,-5755.38588333789,-5176.570809112638,8263.380220547402,-7861.514435692976,3332.304198014039,-8619.65044692748,-6644.153697062021,-3434.374202255428,-5466.925585481655,2375.403864527645,19298.352175617474,-8922.88280972075,-327.85185557613113,2561.6845348648203,890.4423782400754
1992,-8861.311351869655,2764.0742841921783,3248.77051926497,-7943.04512423446,594.185412916906,-4464.8287995253995,-7713.7648842487015,-5939.4789887408515,-5378.6882033396905,8539.611724344564,-8034.687368189029,4118.894265259627,-8657.147109197644,-6506.867609524947,-3624.01167879855,-5576.834677857084,2627.387672798319,14988.851635971387,-8902.559150814464,270.5825825860611,2951.279932711559,444.8706156939588
1993,-9159.71503193739,2870.0998855493763,3610.1526951929136,-7984.50858976052,636.6809497770391,-4511.09872589143,-7962.713583419933,-6355.522556666616,-5796.367609695437,8412.220098042857,-8299.58673537815,4819.2052742848955,-9006.072965527595,-6852.82681993213,-3731.074449103364,-5897.3632048167565,2758.942783558721,12519.738236362804,-9346.257268576745,642.6415392158997,3398.094571611322,55.25151766057752
1994,-9456.813565219347,3145.4338218195808,3818.097428347044,-7984.778690447916,767.0332491218014,-4456.793884630055,-8136.555518251245,-6650.169183960954,-5669.669570952452,8602.59063562598,-8512.613832316334,5519.74856095862,-9307.235786970274,-7107.784771567386,-3341.8468365535837,-6084.741744102203,3142.5385558804937,9366.34050539698,-10056.109578851043,1067.1808553444262,2246.419632181556,-66.33320064124018
1995,-9740.321844462189,3188.721226619611,4608.025533247055,-8041.975268155318,814.0350873850293,-4377.761104134596,-8319.660456789006,-6910.7259969844545,-6331.408306847841,6824.479813567072,-8863.31598220079,6343.983215793329,-9639.114723755696,-7357.78869508564,-3270.511916163161,-6296.809342567838,3896.6267214503605,8220.779903379433,-10003.944519928711,1519.6331907233398,2717.0311138854577,-189.7704930007094
1996,-10011.415234998925,2911.378893707466,5110.083130902656,-8155.447282328612,466.58478378895234,-4350.578213712272,-8548.215036010997,-7229.760620548166,-6210.3684355449805,7233.54222573942,-9149.355145545518,7229.1921861753635,-10054.508290285492,-7663.904005976598,-3575.0779989895245,-6508.017711836241,4418.368712022235,7154.083868254735,-10421.824177525647,1672.2010836040117,3105.0916995679436,-243.5616758419801
1997,-10347.948542389968,2793.0833522555804,5707.058852205209,-8279.152589753665,270.2761030052425,-4524.703936995665,-8876.389114669371,-7706.681772226788,-6752.454678978784,7854.147263452753,-9495.019276579964,7714.967868555645,-10462.561486493123,-8115.234887914377,-3608.023631147391,-6760.19302215965,5025.229336029033,7059.297496092238,-10820.752830575242,760.9540374902208,3561.1483750194966,-475.3703584711984
1998,-10015.873890983223,2898.217897378321,6472.908456620316,-7769.743274676197,395.58504128923596,-5298.163861827503,-8486.510591383192,-7416.112113802723,-6201.187738246203,8998.824471937802,-9134.443376648678,6117.663049095438,-10110.938322355398,-7852.741092354438,-3514.48879068106,-6637.404076849129,6064.843935167788,6363.9553503546485,-10508.673430085826,-71.44723844286455,3908.7918251751544,-284.160804845098
1999,-10182.733843790767,2527.742361685803,5971.167251987077,-7747.273501781123,-527.8122783903382,-5571.138596874705,-8513.23108339541,-7669.567957348405,-6420.0403365524835,9000.01719235506,-9320.735128967472,6527.873036018489,-10388.604515329922,-8050.121694956144,-3762.8473576852775,-6830.805459302121,6661.039937808087,7334.6447220412665,-10704.24178494604,71.94223163587958,3012.5990040474444,-368.9557809686121
2000,-10771.939566866477,2376.5051222573384,6056.4262325457785,-8014.592654473952,-960.4320653622381,-5933.776686786208,-9025.059441669671,-8338.0563402142,-6933.509590540947,9135.521998779355,-9978.2880429448,7109.8659005148875,-11020.765339456966,-8573.203434578354,-4247.758195613125,-7309.535341965622,7144.831084144595,8753.153517591156,-11202.574855557756,-114.62713510724825,3266.7801712689306,-573.2675473047984
2001,-10687.361413976818,2421.4326112275667,6450.79158786566,-7660.904179491179,-916.3701368606653,-5759.888854671037,-8898.039486702022,-8281.798074472696,-6567.963460305546,8759.069034450407,-9661.585837616507,6781.301901233866,-10942.682114376672,-8510.261989122104,-4274.144534175779,-7236.194764818205,7423.37902996063,9952.64975436065,-11088.921362243274,210.4915731147721,2270.884387377775,-326.6899907365787
2002,-10995.900860331854,2355.8363158312095,6510.782848512103,-7598.4657523160095,-1136.7725606598287,-5886.480614904807,-9160.064233816996,-8709.931978912526,-6762.44374274539,8083.765190161454,-9991.280363970845,7000.7538635653145,-11252.930958062117,-8832.854928463476,-4266.4126800057375,-7481.2693218411105,7479.618273382912,10775.68975778728,-11282.291132015132,522.3999467322774,2692.461958126507,-329.2455235193065
2003,-11450.192147385993,1824.5017644561576,6679.07461449234,-7655.011342047604,-1391.3950636135633,-6183.9670026229305,-9480.458742907793,-9241.92782957219,-7008.871111996752,7513.9667877766515,-10352.46095059605,7124.579807150685,-11795.7723854694,-9247.475574952068,-4537.075534897138,-7852.207977714436,7675.142854095182,12068.452241163759,-11807.04126123053,808.2556402787923,2866.141851116474,-617.9365115302899
2004,-12193.969694518633,1741.9443638040211,7022.245283303109,-7904.561149651904,-1711.5291246966372,-6692.484338655628,-10024.787424731136,-9933.371153389722,-7578.147861342557,7194.996929809458,-11164.488402031124,7238.155306118635,-12600.833273940292,-9812.016712637265,-4964.933593560616,-8379.948069683163,7980.58306417094,13224.051956661702,-12511.854163303493,786.1275363956393,3490.59541919432,-944.9268175301422
2005,-12710.52950934807,1461.6715414248283,7418.1631869319735,-7866.5959494511,-1906.5309125937001,-6985.767689247441,-10392.787363683408,-10431.710272696815,-8070.355899163369,6747.742152067909,-11789.131336981643,7260.360341937861,-13161.24579068435,-10225.317677681178,-5094.4360144597795,-8819.534717413542,8098.14781954345,14462.572478855098,-13029.079045268154,664.2420467060601,4265.144439693511,-1005.0267287318493
2006,-13430.82990460874,1145.6492823996068,7743.573517683406,-7845.656702870487,-2012.517218212006,-7451.114786291752,-10906.0383371502,-11072.312520693718,-8439.920358297924,6695.283774585294,-12552.319381350406,7195.701218869777,-13906.135236137763,-10847.400687627814,-5241.624570183725,-9391.390188801699,8739.536300557793,16163.80487252594,-13711.063370523752,511.6658905738368,4610.839093951101,-1168.1991836134512
2007,-14170.233688038796,1206.994737344754,7937.944426922435,-7602.912776563833,-2057.2075261879436,-7823.7667366159885,-11402.115126857112,-11677.325909460196,-9059.362007145564,6080.574605896616,-13350.580115877692,7338.099011716811,-14671.196887533884,-11529.420623350994,-5226.971861299258,-9875.362520674054,9616.089478759895,18132.679474566085,-14395.699506989858,477.34226623523136,4833.153598118359,-1327.5417702833347
2008,-14332.538088322435,1698.5046427100315,8385.664431343608,-7051.555839515986,-1983.9073039568557,-7656.542989815065,-11540.06300824228,-12007.910805262853,-8977.067987731758,5754.023844053261,-13554.853198184926,7746.077362307351,-14833.073418077916,-11766.970472190482,-4534.325429853769,-9933.56805202422,10522.703312830603,19710.493158397505,-14476.339770471379,421.39238136275526,4548.640141384716,-1245.159977577332
2009,-13978.729992215265,1870.483992619931,8220.72231966375,-5887.843215164217,-1634.5998969050506,-7020.0458156965,-10892.507873476074,-11644.364617964471,-8454.125816145497,4427.7734320923955,-13146.315621601676,7272.557713362392,-14503.162136496063,-11374.381691018047,-4125.264635732203,-9602.473727984492,11556.588560017422,17253.890896390014,-14061.716633402277,539.0582513528643,3619.269905009629,-1295.9250367437944
2010,-14949.75014879432,1974.2631649357554,8304.084133606675,-5956.393752569458,-2233.7894894861693,-7658.485361595012,-11619.652025329544,-12505.944564830685,-9370.509198877971,4061.2281486759603,-14156.989055269358,7458.520897460914,-15511.585115997847,-12487.903007267812,-4301.746931132946,-10350.724705832588,11435.600946700495,17657.574075269753,-15048.872780213853,581.9390103525911,3892.973737194301,-2100.0428487000427
2011,-15585.635466642725,1860.851288661026,8905.603432313372,-5690.250659944735,-2086.2001447119546,-7917.118744177809,-12125.512688821695,-13110.794154801179,-9768.803353747877,3773.8132620423567,-14871.088538710992,7598.31385024546,-16235.66281519087,-13174.607661851318,-4308.5960222158155,-10934.986989223118,12204.422589568323,18396.632370683943,-15654.271249270112,-85.22340138965228,5135.861789120681,-2523.3138961269506
2012,-16051.800799166815,1541.6884568743335,9736.251382888237,-5373.329743236996,-2172.540301647725,-7996.6287123924885,-12437.90167653052,-13559.151451701788,-10171.14048484101,3702.346267926736,-15511.442250212405,7996.470374670531,-16679.570014053472,-13659.428103967348,-4142.259904601549,-11144.550492424853,12122.416279427678,19218.735380748483,-16068.164689756755,535.3528428351019,5394.7062457876855,-2920.7894709277207
2013,-16510.784935454383,1454.7681162613262,9870.522136092852,-4985.939829160085,-2025.8206836913014,-8079.455158411791,-12668.553432943492,-14016.009138862377,-10465.999900214581,3089.693905988148,-16017.888520874316,8244.834989039467,-17173.396369894414,-14053.87984873371,-3970.480626126702,-11325.87974215718,11833.11899268485,19246.899469458713,-16536.564935046234,410.27506498530056,6552.201796089608,-3312.9325599839704
2014,-16894.760617647906,982.485238870413,9682.629174395435,-4469.132895536901,-1843.1793399224334,-8090.79082833461,-12716.449425382456,-14306.89146170899,-10759.406184202617,2954.8329056424045,-16344.884057620431,8964.801449043265,-17543.33679905504,-14346.950058501276,-4180.603608140156,-11398.63551785854,12641.086874602614,18410.28919488119,-16870.698334762656,84.90158560675627,6947.5137335936815,-3763.705130368684
2015,-17240.19384414184,-245.9471536281053,9638.09945770602,-3905.3394684102877,-1851.440116992515,-8048.599871286269,-12654.366687536622,-14545.096533815493,-10865.946733592573,2944.632980370334,-16628.7514012787,9521.27343561834,-17898.873394071143,-14580.99275676924,-4233.599304512123,-11396.03976353299,13703.865620103075,17192.32173231652,-17097.13723896677,229.65986067548147,7728.501682223658,-4234.768362902178
2016,-17549.34295723347,-1388.495982950306,9419.205330378863,-3320.665852137854,-2034.2553543126633,-7976.180880101643,-12554.26558121834,-14823.231707035176,-11298.34583369187,2748.7190431989984,-16925.849837562673,9907.058603527912,-18242.183669424423,-14701.643610795301,-4214.859656126417,-11308.920658901974,14350.171907902753,16786.231536691655,-17388.435452820748,440.71653360161145,7883.343929676012,-4649.9445559185915
2017,-18118.593464087284,-1922.210769266494,8708.509174166582,-2932.6492009052126,-2694.223060559121,-8144.657562354147,-12792.714382112259,-15385.174884404227,-11618.248809290904,2315.0609911236934,-17508.1458388787,10442.448932759806,-18863.256390863808,-15192.080999227172,-4697.8485208237125,-11478.024669527573,15463.82252566802,16734.877655552846,-17993.86127152751,555.723418234069,9023.916143769347,-5216.31454640128
2018,-18645.037449348616,-2334.530062778289,8721.059685733391,-2450.532629976471,-3185.130550399568,-8247.117253276205,-13001.730867145805,-15820.97876312169,-12063.529239265903,1930.9493691516254,-18074.20570891973,10777.787000622291,-19420.82320288349,-15572.792391234423,-4981.0867948222,-11640.604615781822,17092.798617549695,17130.731769256825,-18459.944221023372,762.2668511583142,9021.77684499534,-5851.635328420398
2019,-18854.90022764601,-2517.493551754247,8146.052351792856,-1679.1517184117147,-3230.3360141898265,-8017.458282559404,-13064.592871976169,-15948.352199918838,-12188.413464258796,1335.5971660872638,-18306.41775411677,11368.116358804964,-19669.203645590635,-15818.464604575307,-5188.711121241584,-11473.198992531235,18562.00866306097,17660.510363866208,-18566.429715546474,889.8710905688058,8692.322341262217,-6350.078734079098
2020,-17933.64316550614,-2307.6689768417345,7018.879028829568,-334.2287837853437,-3840.321854148571,-7471.138447479354,-12686.926068321256,-15135.516026710837,-12002.119565035377,202.43190145528933,-17499.27910540552,10104.94688080336,-18733.665749908632,-15054.374705673366,-6194.580911780844,-11583.287910018304,19150.584993641936,17607.006700056954,-17787.92177697324,441.60613999290945,9871.042405020828,-6569.933908818106
2021,-19592.346843915373,-3294.4683580901074,8220.319026528206,-401.0768995980179,-4018.5667279565896,-8854.855689893373,-13775.868853455035,-16610.26981873108,-13176.56511886925,-464.5465422622692,-19268.468155326085,8986.635873754454,-20534.125451147735,-16580.556732078552,-6216.67564296389,-12931.380596070692,20734.132182642963,18202.924582835298,-19334.114619761844,-1028.901450368845,11373.093142320016,-7887.935511684251
2022,-20209.12238907181,-3393.1463841125333,8122.986411735714,-313.9313698585138,-3492.804586202281,-8850.189935295646,-13805.512220049872,-17049.242075073307,-13705.089685716222,-426.3437801585096,-19848.846844755248,10799.082651372293,-20994.970346400092,-17013.0845065782,-6523.472038738973,-12903.585986973016,22587.41880354749,17160.9603409173,-19766.623214510026,-1083.9996217935113,12253.926069436773,-8397.266236328027
2023,-20405.457638269127,-3057.597327031781,7902.807839160661,713.6328620993409,-3786.085248081301,-8483.336329277185,-13280.110607134642,-17054.1292727166,-13684.078916426413,-91.1865761227782,-20014.22607856169,11346.524276495416,-21238.311102929805,-17339.59671652264,-6980.383459608987,-12656.207470157706,22653.21883343158,18695.72701397131,-19802.447403614067,-849.9717903432211,13658.549629313376,-8686.781091023016
2024,-21000.16954781124,-3117.990323951646,7891.086827681222,1265.866363265468,-4346.557103610114,-8535.460816387544,-13399.327788633107,-17552.753024216167,-14084.409590484902,-622.2151574599338,-20614.905991559546,12003.324429299097,-21778.23382802871,-17913.306490830444,-7289.997675925299,-12816.071090636273,23541.809903213227,19936.734452483848,-20250.607716761147,-934.8984637979593,14134.23120149798,-9447.916139411816
